,country,alpha-2,date,cumsum_cases,cumsum_deaths,alpha-3,population,cases_by_million
4356,Russia,RU,2020-02-12,2,0,RUS,144478050.0,0.01384293323449479
3144,Luxembourg,LU,2020-02-12,0,0,LUX,607728.0,0.0
354,Austria,AT,2020-02-13,0,0,AUT,8847037.0,0.0
3553,Netherlands,NL,2020-02-13,0,0,NLD,17231017.0,0.0
1197,Croatia,HR,2020-02-13,0,0,HRV,4089400.0,0.0
1287,Czech_Republic,CZ,2020-02-13,0,0,CZE,10625695.0,0.0
3840,Norway,NO,2020-02-13,0,0,NOR,5314336.0,0.0
3390,Monaco,MC,2020-02-13,0,0,MCO,38682.0,0.0
1752,Finland,FI,2020-02-13,1,0,FIN,5518050.0,0.18122343943965713
3143,Luxembourg,LU,2020-02-13,0,0,LUX,607728.0,0.0
3071,Lithuania,LT,2020-02-13,0,0,LTU,2789533.0,0.0
3761,North_Macedonia,MK,2020-02-13,0,0,MKD,2082958.0,0.0
582,Belarus,BY,2020-02-13,0,0,BLR,9485386.0,0.0
1831,France,FR,2020-02-13,11,0,FRA,66987244.0,0.16421036817099088
4442,San_Marino,SM,2020-02-13,0,0,SMR,33785.0,0.0
2187,Iceland,IS,2020-02-13,0,0,ISL,353574.0,0.0
2570,Ireland,IE,2020-02-13,0,0,IRL,4853506.0,0.0
661,Belgium,BE,2020-02-13,1,0,BEL,11422068.0,0.08754982022519915
4355,Russia,RU,2020-02-13,2,0,RUS,144478050.0,0.01384293323449479
4751,Spain,ES,2020-02-13,2,0,ESP,46723749.0,0.04280478435067357
1669,Estonia,EE,2020-02-13,0,0,EST,1320884.0,0.0
4985,Switzerland,CH,2020-02-13,0,0,CHE,8516543.0,0.0
1372,Denmark,DK,2020-02-13,0,0,DNK,5797446.0,0.0
2725,Italy,IT,2020-02-13,3,0,ITA,60431283.0,0.049643162466036006
5317,United_Kingdom,GB,2020-02-13,9,0,GBR,66488991.0,0.13536075468493725
4906,Sweden,SE,2020-02-13,1,0,SWE,10183175.0,0.09820119952765223
4281,Romania,RO,2020-02-13,0,0,ROU,19473936.0,0.0
1992,Germany,DE,2020-02-13,15,0,DEU,82927922.0,0.1808799694751787
353,Austria,AT,2020-02-14,0,0,AUT,8847037.0,0.0
3760,North_Macedonia,MK,2020-02-14,0,0,MKD,2082958.0,0.0
1830,France,FR,2020-02-14,11,0,FRA,66987244.0,0.16421036817099088
4354,Russia,RU,2020-02-14,2,0,RUS,144478050.0,0.01384293323449479
2569,Ireland,IE,2020-02-14,0,0,IRL,4853506.0,0.0
3142,Luxembourg,LU,2020-02-14,0,0,LUX,607728.0,0.0
3839,Norway,NO,2020-02-14,0,0,NOR,5314336.0,0.0
4280,Romania,RO,2020-02-14,0,0,ROU,19473936.0,0.0
5316,United_Kingdom,GB,2020-02-14,9,0,GBR,66488991.0,0.13536075468493725
2724,Italy,IT,2020-02-14,3,0,ITA,60431283.0,0.049643162466036006
1371,Denmark,DK,2020-02-14,0,0,DNK,5797446.0,0.0
4984,Switzerland,CH,2020-02-14,0,0,CHE,8516543.0,0.0
1991,Germany,DE,2020-02-14,15,0,DEU,82927922.0,0.1808799694751787
3552,Netherlands,NL,2020-02-14,0,0,NLD,17231017.0,0.0
4905,Sweden,SE,2020-02-14,1,0,SWE,10183175.0,0.09820119952765223
1668,Estonia,EE,2020-02-14,0,0,EST,1320884.0,0.0
581,Belarus,BY,2020-02-14,0,0,BLR,9485386.0,0.0
3389,Monaco,MC,2020-02-14,0,0,MCO,38682.0,0.0
1751,Finland,FI,2020-02-14,1,0,FIN,5518050.0,0.18122343943965713
1196,Croatia,HR,2020-02-14,0,0,HRV,4089400.0,0.0
4441,San_Marino,SM,2020-02-14,0,0,SMR,33785.0,0.0
660,Belgium,BE,2020-02-14,1,0,BEL,11422068.0,0.08754982022519915
4750,Spain,ES,2020-02-14,2,0,ESP,46723749.0,0.04280478435067357
2186,Iceland,IS,2020-02-14,0,0,ISL,353574.0,0.0
3070,Lithuania,LT,2020-02-14,0,0,LTU,2789533.0,0.0
1286,Czech_Republic,CZ,2020-02-14,0,0,CZE,10625695.0,0.0
2568,Ireland,IE,2020-02-15,0,0,IRL,4853506.0,0.0
1195,Croatia,HR,2020-02-15,0,0,HRV,4089400.0,0.0
3838,Norway,NO,2020-02-15,0,0,NOR,5314336.0,0.0
3759,North_Macedonia,MK,2020-02-15,0,0,MKD,2082958.0,0.0
1667,Estonia,EE,2020-02-15,0,0,EST,1320884.0,0.0
2185,Iceland,IS,2020-02-15,0,0,ISL,353574.0,0.0
1750,Finland,FI,2020-02-15,1,0,FIN,5518050.0,0.18122343943965713
5315,United_Kingdom,GB,2020-02-15,9,0,GBR,66488991.0,0.13536075468493725
1829,France,FR,2020-02-15,11,1,FRA,66987244.0,0.16421036817099088
3141,Luxembourg,LU,2020-02-15,0,0,LUX,607728.0,0.0
659,Belgium,BE,2020-02-15,1,0,BEL,11422068.0,0.08754982022519915
3388,Monaco,MC,2020-02-15,0,0,MCO,38682.0,0.0
1285,Czech_Republic,CZ,2020-02-15,0,0,CZE,10625695.0,0.0
4749,Spain,ES,2020-02-15,2,0,ESP,46723749.0,0.04280478435067357
4279,Romania,RO,2020-02-15,0,0,ROU,19473936.0,0.0
2723,Italy,IT,2020-02-15,3,0,ITA,60431283.0,0.049643162466036006
1370,Denmark,DK,2020-02-15,0,0,DNK,5797446.0,0.0
4353,Russia,RU,2020-02-15,2,0,RUS,144478050.0,0.01384293323449479
4983,Switzerland,CH,2020-02-15,0,0,CHE,8516543.0,0.0
1990,Germany,DE,2020-02-15,15,0,DEU,82927922.0,0.1808799694751787
3551,Netherlands,NL,2020-02-15,0,0,NLD,17231017.0,0.0
352,Austria,AT,2020-02-15,0,0,AUT,8847037.0,0.0
580,Belarus,BY,2020-02-15,0,0,BLR,9485386.0,0.0
4904,Sweden,SE,2020-02-15,1,0,SWE,10183175.0,0.09820119952765223
3069,Lithuania,LT,2020-02-15,0,0,LTU,2789533.0,0.0
4440,San_Marino,SM,2020-02-15,0,0,SMR,33785.0,0.0
4748,Spain,ES,2020-02-16,2,0,ESP,46723749.0,0.04280478435067357
351,Austria,AT,2020-02-16,0,0,AUT,8847037.0,0.0
3068,Lithuania,LT,2020-02-16,0,0,LTU,2789533.0,0.0
4439,San_Marino,SM,2020-02-16,0,0,SMR,33785.0,0.0
1284,Czech_Republic,CZ,2020-02-16,0,0,CZE,10625695.0,0.0
658,Belgium,BE,2020-02-16,1,0,BEL,11422068.0,0.08754982022519915
3758,North_Macedonia,MK,2020-02-16,0,0,MKD,2082958.0,0.0
3387,Monaco,MC,2020-02-16,0,0,MCO,38682.0,0.0
1194,Croatia,HR,2020-02-16,0,0,HRV,4089400.0,0.0
1666,Estonia,EE,2020-02-16,0,0,EST,1320884.0,0.0
3837,Norway,NO,2020-02-16,0,0,NOR,5314336.0,0.0
2722,Italy,IT,2020-02-16,3,0,ITA,60431283.0,0.049643162466036006
1749,Finland,FI,2020-02-16,1,0,FIN,5518050.0,0.18122343943965713
2184,Iceland,IS,2020-02-16,0,0,ISL,353574.0,0.0
4278,Romania,RO,2020-02-16,0,0,ROU,19473936.0,0.0
3550,Netherlands,NL,2020-02-16,0,0,NLD,17231017.0,0.0
4903,Sweden,SE,2020-02-16,1,0,SWE,10183175.0,0.09820119952765223
3140,Luxembourg,LU,2020-02-16,0,0,LUX,607728.0,0.0
1989,Germany,DE,2020-02-16,15,0,DEU,82927922.0,0.1808799694751787
1828,France,FR,2020-02-16,11,1,FRA,66987244.0,0.16421036817099088
4352,Russia,RU,2020-02-16,2,0,RUS,144478050.0,0.01384293323449479
4982,Switzerland,CH,2020-02-16,0,0,CHE,8516543.0,0.0
2567,Ireland,IE,2020-02-16,0,0,IRL,4853506.0,0.0
1369,Denmark,DK,2020-02-16,0,0,DNK,5797446.0,0.0
579,Belarus,BY,2020-02-16,0,0,BLR,9485386.0,0.0
5314,United_Kingdom,GB,2020-02-16,9,0,GBR,66488991.0,0.13536075468493725
4981,Switzerland,CH,2020-02-17,0,0,CHE,8516543.0,0.0
1988,Germany,DE,2020-02-17,15,0,DEU,82927922.0,0.1808799694751787
1748,Finland,FI,2020-02-17,1,0,FIN,5518050.0,0.18122343943965713
3549,Netherlands,NL,2020-02-17,0,0,NLD,17231017.0,0.0
2183,Iceland,IS,2020-02-17,0,0,ISL,353574.0,0.0
3386,Monaco,MC,2020-02-17,0,0,MCO,38682.0,0.0
4747,Spain,ES,2020-02-17,2,0,ESP,46723749.0,0.04280478435067357
578,Belarus,BY,2020-02-17,0,0,BLR,9485386.0,0.0
657,Belgium,BE,2020-02-17,1,0,BEL,11422068.0,0.08754982022519915
1665,Estonia,EE,2020-02-17,0,0,EST,1320884.0,0.0
1283,Czech_Republic,CZ,2020-02-17,0,0,CZE,10625695.0,0.0
4902,Sweden,SE,2020-02-17,1,0,SWE,10183175.0,0.09820119952765223
4438,San_Marino,SM,2020-02-17,0,0,SMR,33785.0,0.0
3836,Norway,NO,2020-02-17,0,0,NOR,5314336.0,0.0
3139,Luxembourg,LU,2020-02-17,0,0,LUX,607728.0,0.0
2566,Ireland,IE,2020-02-17,0,0,IRL,4853506.0,0.0
3757,North_Macedonia,MK,2020-02-17,0,0,MKD,2082958.0,0.0
4351,Russia,RU,2020-02-17,2,0,RUS,144478050.0,0.01384293323449479
1827,France,FR,2020-02-17,12,1,FRA,66987244.0,0.17913858345926278
5313,United_Kingdom,GB,2020-02-17,9,0,GBR,66488991.0,0.13536075468493725
350,Austria,AT,2020-02-17,0,0,AUT,8847037.0,0.0
1193,Croatia,HR,2020-02-17,0,0,HRV,4089400.0,0.0
4277,Romania,RO,2020-02-17,0,0,ROU,19473936.0,0.0
1368,Denmark,DK,2020-02-17,0,0,DNK,5797446.0,0.0
3067,Lithuania,LT,2020-02-17,0,0,LTU,2789533.0,0.0
2721,Italy,IT,2020-02-17,3,0,ITA,60431283.0,0.049643162466036006
2565,Ireland,IE,2020-02-18,0,0,IRL,4853506.0,0.0
4350,Russia,RU,2020-02-18,2,0,RUS,144478050.0,0.01384293323449479
1747,Finland,FI,2020-02-18,1,0,FIN,5518050.0,0.18122343943965713
1367,Denmark,DK,2020-02-18,0,0,DNK,5797446.0,0.0
4980,Switzerland,CH,2020-02-18,0,0,CHE,8516543.0,0.0
2182,Iceland,IS,2020-02-18,0,0,ISL,353574.0,0.0
2720,Italy,IT,2020-02-18,3,0,ITA,60431283.0,0.049643162466036006
3385,Monaco,MC,2020-02-18,0,0,MCO,38682.0,0.0
1826,France,FR,2020-02-18,12,1,FRA,66987244.0,0.17913858345926278
349,Austria,AT,2020-02-18,0,0,AUT,8847037.0,0.0
4746,Spain,ES,2020-02-18,2,0,ESP,46723749.0,0.04280478435067357
3066,Lithuania,LT,2020-02-18,0,0,LTU,2789533.0,0.0
1987,Germany,DE,2020-02-18,15,0,DEU,82927922.0,0.1808799694751787
3548,Netherlands,NL,2020-02-18,0,0,NLD,17231017.0,0.0
4276,Romania,RO,2020-02-18,0,0,ROU,19473936.0,0.0
656,Belgium,BE,2020-02-18,1,0,BEL,11422068.0,0.08754982022519915
3835,Norway,NO,2020-02-18,0,0,NOR,5314336.0,0.0
1664,Estonia,EE,2020-02-18,0,0,EST,1320884.0,0.0
4901,Sweden,SE,2020-02-18,1,0,SWE,10183175.0,0.09820119952765223
3138,Luxembourg,LU,2020-02-18,0,0,LUX,607728.0,0.0
577,Belarus,BY,2020-02-18,0,0,BLR,9485386.0,0.0
1192,Croatia,HR,2020-02-18,0,0,HRV,4089400.0,0.0
5312,United_Kingdom,GB,2020-02-18,9,0,GBR,66488991.0,0.13536075468493725
4437,San_Marino,SM,2020-02-18,0,0,SMR,33785.0,0.0
1282,Czech_Republic,CZ,2020-02-18,0,0,CZE,10625695.0,0.0
3756,North_Macedonia,MK,2020-02-18,0,0,MKD,2082958.0,0.0
1663,Estonia,EE,2020-02-19,0,0,EST,1320884.0,0.0
576,Belarus,BY,2020-02-19,0,0,BLR,9485386.0,0.0
4436,San_Marino,SM,2020-02-19,0,0,SMR,33785.0,0.0
3834,Norway,NO,2020-02-19,0,0,NOR,5314336.0,0.0
3137,Luxembourg,LU,2020-02-19,0,0,LUX,607728.0,0.0
4900,Sweden,SE,2020-02-19,1,0,SWE,10183175.0,0.09820119952765223
655,Belgium,BE,2020-02-19,1,0,BEL,11422068.0,0.08754982022519915
1191,Croatia,HR,2020-02-19,0,0,HRV,4089400.0,0.0
3755,North_Macedonia,MK,2020-02-19,0,0,MKD,2082958.0,0.0
1366,Denmark,DK,2020-02-19,0,0,DNK,5797446.0,0.0
4979,Switzerland,CH,2020-02-19,0,0,CHE,8516543.0,0.0
3065,Lithuania,LT,2020-02-19,0,0,LTU,2789533.0,0.0
1986,Germany,DE,2020-02-19,15,0,DEU,82927922.0,0.1808799694751787
1746,Finland,FI,2020-02-19,1,0,FIN,5518050.0,0.18122343943965713
1825,France,FR,2020-02-19,12,1,FRA,66987244.0,0.17913858345926278
3547,Netherlands,NL,2020-02-19,0,0,NLD,17231017.0,0.0
2719,Italy,IT,2020-02-19,3,0,ITA,60431283.0,0.049643162466036006
4275,Romania,RO,2020-02-19,0,0,ROU,19473936.0,0.0
4349,Russia,RU,2020-02-19,2,0,RUS,144478050.0,0.01384293323449479
2564,Ireland,IE,2020-02-19,0,0,IRL,4853506.0,0.0
2181,Iceland,IS,2020-02-19,0,0,ISL,353574.0,0.0
348,Austria,AT,2020-02-19,0,0,AUT,8847037.0,0.0
3384,Monaco,MC,2020-02-19,0,0,MCO,38682.0,0.0
5311,United_Kingdom,GB,2020-02-19,9,0,GBR,66488991.0,0.13536075468493725
4745,Spain,ES,2020-02-19,2,0,ESP,46723749.0,0.04280478435067357
1281,Czech_Republic,CZ,2020-02-19,0,0,CZE,10625695.0,0.0
4348,Russia,RU,2020-02-20,2,0,RUS,144478050.0,0.01384293323449479
4274,Romania,RO,2020-02-20,0,0,ROU,19473936.0,0.0
5310,United_Kingdom,GB,2020-02-20,9,0,GBR,66488991.0,0.13536075468493725
